"data";"THB";"USD";"AUD";"HKD";"CAD";"NZD";"SGD";"EUR";"HUF";"CHF";"GBP";"UAH";"JPY";"CZK";"DKK";"ISK";"NOK";"SEK";"HRK";"RON";"BGN";"TRY";"ILS";"CLP";"PHP";"MXN";"ZAR";"BRL";"MYR";"RUB";"IDR";"INR";"KRW";"CNY";"XDR"
2022-03-07;0,1387;4,5722;3,3848;0,5851;3,5967;3,1471;3,3508;4,9647;1,2491;4,9452;6,0211;0,1381;3,9735;0,1921;0,6674;3,4098;0,508;0,4568;0,6567;1,0029;2,5384;0,3191;1,3884;0,5665;0,0875;0,2169;0,2968;0,9032;1,0945;0,0335;3,1735;5,9384;0,3719;0,7237;6,2923
2022-03-08;0,136;4,5115;3,29;0,577;3,5166;3,0831;3,309;4,9121;1,2654;4,8579;5,9196;0,1381;3,9028;0,192;0,6599;3,3621;0,5022;0,4536;0,6491;0,9923;2,5115;0,3117;1,37;0,5552;0,0864;0,2111;0,294;0,8825;1,0787;0,033;3,1335;5,8649;0,3659;0,7144;6,2218
2022-03-09;0,1335;4,4147;3,2335;0,5645;3,4419;3,02;3,2429;4,8429;1,264;4,758;5,8051;0,1381;3,8103;0,191;0,6506;3,333;0,4939;0,4496;0,6402;0,9783;2,4761;0,3009;1,3413;0,5451;0,0847;0,2081;0,2908;0,8724;1,0544;NA;3,077;5,7659;0,3584;0,6991;6,1378
2022-03-10;0,1312;4,3482;3,1906;0,556;3,3928;2,9802;3,1984;4,8013;1,2646;4,6917;5,7264;0,1381;3,7507;0,1897;0,6452;3,3044;0,4855;0,4467;0,6346;0,97;2,4548;0,2947;1,3345;0,5405;0,0834;0,2076;0,2878;0,8674;1,0383;NA;3,045;5,699;0,3546;0,6879;6,0418
2022-03-11;0,1312;4,3694;3,1959;0,5583;3,4213;2,989;3,2094;4,7924;1,257;4,689;5,7127;0,1381;3,7365;0,1901;0,6441;3,2937;0,4887;0,4495;0,633;0,9684;2,4503;0,2915;1,3395;0,5448;0,0835;0,2084;0,2898;0,8719;1,0417;NA;3,055;5,7046;0,3536;0,69;5,9924
2022-03-14;0,1295;4,3221;3,136;0,5521;3,3885;2,9389;3,1673;4,7465;1,2596;4,631;5,6375;0,1381;3,6653;0,1905;0,638;3,2712;0,4831;0,4505;0,6267;0,9589;2,4268;0,2929;1,3247;0,5363;0,0825;0,2081;0,2864;0,8516;1,0278;NA;3,0156;5,6447;0,3492;0,6796;5,9742
2022-03-15;0,1282;4,2992;3,0905;0,5493;3,3437;2,8999;3,1461;4,7311;1,2692;4,5793;5,6056;0,1381;3,6441;0,1907;0,6358;3,2606;0,4759;0,4493;0,6245;0,9558;2,4189;0,2907;1,3081;0,5285;0,082;0,206;0,2838;0,8392;1,0219;NA;3;5,6116;0,3453;0,6745;5,9484
2022-03-16;0,1283;4,2828;3,0964;0,5475;3,3665;2,9069;3,1456;4,7055;1,2642;4,555;5,5931;0,1381;3,6193;0,1903;0,6324;3,2519;0,4792;0,4493;0,6214;0,9507;2,4059;0,2914;1,3124;0,5288;0,082;0,2061;0,2838;0,8293;1,0203;NA;2,9924;5,6156;0,3468;0,6744;5,9052
2022-03-17;0,1276;4,2403;3,109;0,5423;3,351;2,9035;3,1286;4,6876;1,2619;4,5127;5,5865;0,1381;3,5746;0,19;0,6297;3,2988;0,4773;0,4496;0,6189;0,9476;2,3967;0,2884;1,3072;0,5313;0,0812;0,2058;0,2847;0,8351;1,0107;NA;2,9648;5,5933;0,3502;0,6679;5,8899
2022-03-18;0,1281;4,2707;3,1497;0,5462;3,3837;2,9396;3,1494;4,7221;1,2641;4,5701;5,6109;0,1381;3,5908;0,1901;0,6343;3,3045;0,4839;0,4526;0,624;0,9543;2,4143;0,2885;1,3158;0,5341;0,0816;0,2081;0,2854;0,8473;1,0185;NA;2,9779;5,6086;0,3518;0,6711;5,9106
2022-03-21;0,1265;4,2444;3,1335;0,5424;3,3662;2,9259;3,1301;4,693;1,2533;4,5614;5,5819;0,1381;3,5593;0,1902;0,6307;3,2933;0,4848;0,45;0,6199;0,9486;2,3995;0,2858;1,3112;0,5282;0,081;0,2085;0,2839;0,8448;1,0094;NA;2,9598;5,5746;0,3494;0,6677;5,8885
2022-03-22;0,1275;4,272;3,1681;0,5457;3,3867;2,9547;3,1445;4,6975;1,258;4,5644;5,6322;0,1381;3,5353;0,1903;0,6314;3,2919;0,4869;0,451;0,6203;0,9495;2,4018;0,2882;1,325;0,5382;0,0815;0,2087;0,287;0,8654;1,0132;NA;2,9757;5,6072;0,3507;0,6713;5,8809
2022-03-23;0,1273;4,2772;3,1977;0,5466;3,3986;2,9764;3,1498;4,7036;1,2647;4,5722;5,6574;0,1381;3,5347;0,1916;0,6324;3,3218;0,4882;0,4533;0,6207;0,9508;2,4049;0,2884;1,3247;0,5395;0,0817;0,2112;0,289;0,871;1,0126;NA;2,9813;5,606;0,3519;0,6713;5,8866
2022-03-24;0,1288;4,331;3,2392;0,5535;3,4434;3,0085;3,1896;4,7589;1,2682;4,6412;5,7061;0,1467;3,5594;0,1928;0,6397;3,3703;0,5015;0,4602;0,6283;0,9616;2,4332;0,2918;1,3435;0,5464;0,0828;0,2143;0,2932;0,8975;1,0248;NA;3,0183;5,6711;0,3539;0,6797;5,9721
2022-03-25;0,1285;4,3125;3,2374;0,5509;3,4387;3,0038;3,1793;4,7459;1,2647;4,6528;5,6769;0,1467;3,5454;0,1924;0,6379;3,3469;0,4972;0,459;0,6265;0,959;2,4265;0,2907;1,3396;0,5465;0,0827;0,2149;0,2961;0,8934;1,0242;NA;3,0071;5,6587;0,3536;0,6778;5,9579
2022-03-28;0,1267;4,2784;3,2215;0,5464;3,4267;2,9719;3,1434;4,702;1,26;4,5697;5,6311;0,1467;3,4311;0,1909;0,6319;3,2973;0,4946;0,4521;0,6207;0,9502;2,4041;0,2882;1,3278;0,5499;0,0821;0,2137;0,2948;0,9019;1,0145;NA;2,9786;5,6168;0,3493;0,6716;5,8953
2022-03-29;0,1272;4,2917;3,2109;0,5482;3,4303;2,9525;3,1513;4,7144;1,2655;4,5809;5,605;0,1467;3,4688;0,1918;0,6339;3,306;0,4943;0,4547;0,6226;0,9526;2,4104;0,2893;1,3349;0,5512;0,0824;0,2136;0,2922;0,9005;1,0176;NA;2,9878;5,6384;0,3517;0,6735;5,9146
2022-03-30;0,1252;4,1688;3,1321;0,5326;3,3403;2,9071;3,081;4,6507;1,2667;4,5045;5,4775;0,1467;3,4278;0,1902;0,6253;3,2844;0,4841;0,4503;0,6142;0,9398;2,3778;0,2843;1,3076;0,5343;0,0801;0,2093;0,2884;0,8762;0,9915;NA;2,9065;5,4983;0,3447;0,6566;5,7814
2022-03-31;0,1255;4,1801;3,1251;0,5339;3,3379;2,8988;3,0873;4,6525;1,2588;4,5207;5,4842;0,1467;3,4215;0,1903;0,6255;3,2764;0,4806;0,4504;0,6142;0,9404;2,3788;0,2854;1,3167;0,5297;0,0809;0,2105;0,2886;0,8762;0,9939;NA;2,9091;5,5233;0,3446;0,659;5,7844
2022-04-01;0,1255;4,1978;3,1538;0,5358;3,3584;2,9115;3,0948;4,6428;1,2634;4,5431;5,5114;0,1467;3,4247;0,1906;0,6241;3,2696;0,4785;0,4487;0,6129;0,9388;2,3738;0,2858;1,3111;0,5335;0,0813;0,2114;0,2876;0,8857;0,997;NA;2,9218;5,5259;0,345;0,6598;5,7816
2022-04-04;0,1255;4,2073;3,1614;0,5369;3,3668;2,9152;3,1008;4,6373;1,2577;4,539;5,518;0,1467;3,4308;0,1905;0,6235;3,2657;0,4815;0,4475;0,6141;0,9382;2,371;0,286;1,3089;0,5373;0,0819;0,2122;0,2882;0,9031;0,9972;NA;2,931;5,5747;0,3464;0,6592;5,7919
2022-04-05;0,1264;4,2233;3,2258;0,5392;3,3908;2,9595;3,1155;4,6317;1,2507;4,559;5,541;0,1467;3,4383;0,1903;0,6228;3,271;0,4848;0,4494;0,6142;0,9369;2,3681;0,287;1,3192;0,5421;0,0824;0,2134;0,2905;0,9191;1,0027;NA;2,9435;5,6034;0,3482;0,6584;5,7953
2022-04-06;0,127;4,2606;3,2302;0,5436;3,4098;2,9627;3,1348;4,6539;1,2298;4,5691;5,5802;0,1467;3,4417;0,1902;0,6257;3,3053;0,4862;0,4535;0,6167;0,9412;2,3795;0,2891;1,3233;0,5411;0,083;0,213;0,2911;0,9158;1,0108;NA;2,9676;5,6325;0,3501;0,6697;5,8386
2022-04-07;0,1276;4,2727;3,1945;0,5452;3,4006;2,946;3,1401;4,6478;1,2171;4,5793;5,586;0,1467;3,4529;0,1895;0,6249;3,301;0,4845;0,4508;0,6159;0,9404;2,3764;0,2897;1,3222;0,5341;0,0831;0,2124;0,2903;0,9059;1,0129;NA;2,9757;5,6242;0,3504;0,6714;5,8412
2022-04-08;0,127;4,2703;3,187;0,5449;3,3913;2,9289;3,1329;4,6405;1,2302;4,5663;5,5702;0,1467;3,4408;0,1894;0,624;3,3005;0,4868;0,4515;0,6139;0,9388;2,3727;0,2895;1,3241;0,5298;0,0828;0,212;0,29;0,8984;1,0115;NA;2,9734;5,6241;0,3482;0,6711;5,8329
2022-04-11;0,1268;4,2586;3,1655;0,5434;3,3803;2,9098;3,1198;4,6451;1,2228;4,5574;5,5484;0,1467;3,3979;0,1901;0,6245;3,3227;0,4873;0,4506;0,6153;0,94;2,375;0,2888;1,3212;0,5225;0,0818;0,2131;0,2912;0,9068;1,0072;NA;2,9644;5,6062;0,3456;0,6686;5,8645
2022-04-12;0,1276;4,2926;3,1896;0,5477;3,3922;2,9327;3,1445;4,6626;1,2311;4,6005;5,5819;0,1467;3,4167;0,1907;0,6269;3,34;0,4866;0,4511;0,6175;0,9434;2,3839;0,2923;1,3321;0,5252;0,0824;0,2161;0,295;0,9142;1,0141;NA;2,9887;5,6376;0,3488;0,6738;5,8642
2022-04-13;0,1279;4,2872;3,1843;0,5469;3,3909;2,9098;3,1434;4,646;1,2288;4,6016;5,5761;0,1467;3,4014;0,1901;0,6246;3,3281;0,4869;0,4498;0,615;0,9401;2,3754;0,2939;1,3392;0,5319;0,0823;0,2172;0,2966;0,9171;1,0134;NA;2,9849;5,6273;0,3495;0,6733;5,8556
2022-04-14;0,1264;4,2581;3,1721;0,5431;3,3944;2,9023;3,1435;4,6447;1,2352;4,5539;5,5923;0,1467;3,3959;0,1901;0,6244;3,3082;0,4866;0,4511;0,6143;0,9393;2,3748;0,2913;1,3297;0,5284;0,0816;0,2152;0,2908;0,9076;1,0065;NA;2,9685;5,5903;0,3471;0,6682;5,8649
2022-04-15;0,1275;4,2865;3,177;0,5465;3,4029;2,9065;3,1598;4,6378;1,2337;4,5493;5,6019;0,1467;3,3892;0,1897;0,6234;3,3033;0,4893;0,4495;0,6136;0,9383;2,3712;0,2931;1,3325;0,5257;0,0821;0,2147;0,2923;0,9115;1,0123;NA;2,9884;5,6137;0,3491;0,6729;5,8477
