Data;Godzina;Generacja.zrodel.wiatrowych;Generacja.zrodel.fotowoltaicznych
2015-09-18;21;449,825;-
2015-09-18;22;455,063;-
2015-09-18;23;447,400;-
2015-09-18;24;425,288;-
2015-09-19;1;416,438;-
2015-09-19;2;430,575;-
2015-09-19;3;430,475;-
2015-09-19;4;405,450;-
2015-09-19;5;407,238;-
2015-09-19;6;517,525;-
2015-09-19;7;535,013;-
2015-09-19;8;464,163;-
2015-09-19;9;342,425;-
2015-09-19;10;155,363;-
2015-09-19;11;151,613;-
2015-09-19;12;259,900;-
2015-09-19;13;363,900;-
2015-09-19;14;357,900;-
2015-09-19;15;261,913;-
2015-09-19;16;182,375;-
2015-09-19;17;126,350;-
2015-09-19;18;82,638;-
2015-09-19;19;116,525;-
2015-09-19;20;109,788;-
2015-09-19;21;152,288;-
2015-09-19;22;104,038;-
2015-09-19;23;110,288;-
2015-09-19;24;166,688;-
2015-09-20;1;233,838;-
2015-09-20;2;268,388;-
2015-09-20;3;317,713;-
2015-09-20;4;369,075;-
2015-09-20;5;369,413;-
2015-09-20;6;400,738;-
2015-09-20;7;492,638;-
2015-09-20;8;560,900;-
2015-09-20;9;471,975;-
2015-09-20;10;458,575;-
2015-09-20;11;573,113;-
2015-09-20;12;699,188;-
2015-09-20;13;704,813;-
2015-09-20;14;659,038;-
2015-09-20;15;671,838;-
2015-09-20;16;571,688;-
2015-09-20;17;592,963;-
2015-09-20;18;478,638;-
2015-09-20;19;490,788;-
2015-09-20;20;549,200;-
2015-09-20;21;753,800;-
2015-09-20;22;873,225;-
2015-09-20;23;908,050;-
2015-09-20;24;925,150;-
2015-09-21;1;899,325;-
2015-09-21;2;885,738;-
2015-09-21;3;841,550;-
2015-09-21;4;828,150;-
2015-09-21;5;719,613;-
2015-09-21;6;641,850;-
2015-09-21;7;623,050;-
2015-09-21;8;613,225;-
2015-09-21;9;616,750;-
2015-09-21;10;657,425;-
2015-09-21;11;722,963;-
2015-09-21;12;813,850;-
2015-09-21;13;897,375;-
2015-09-21;14;837,213;-
2015-09-21;15;768,188;-
2015-09-21;16;697,125;-
2015-09-21;17;637,038;-
2015-09-21;18;440,725;-
2015-09-21;19;295,500;-
2015-09-21;20;299,088;-
2015-09-21;21;337,200;-
2015-09-21;22;388,875;-
2015-09-21;23;402,975;-
2015-09-21;24;357,638;-
2015-09-22;1;336,775;-
2015-09-22;2;353,475;-
2015-09-22;3;339,950;-
2015-09-22;4;343,650;-
2015-09-22;5;422,063;-
2015-09-22;6;536,313;-
2015-09-22;7;686,325;-
2015-09-22;8;908,300;-
2015-09-22;9;848,650;-
2015-09-22;10;548,588;-
2015-09-22;11;650,225;-
2015-09-22;12;835,375;-
2015-09-22;13;1049,613;-
2015-09-22;14;1092,150;-
2015-09-22;15;1149,413;-
2015-09-22;16;1237,750;-
2015-09-22;17;1176,763;-
2015-09-22;18;1034,475;-
2015-09-22;19;1123,838;-
2015-09-22;20;1484,075;-
2015-09-22;21;1638,700;-
2015-09-22;22;1665,213;-
2015-09-22;23;1688,388;-
2015-09-22;24;1561,575;-
2015-09-23;1;1379,075;-
2015-09-23;2;1269,075;-
2015-09-23;3;1162,863;-
2015-09-23;4;1003,225;-
2015-09-23;5;912,100;-
2015-09-23;6;888,250;-
2015-09-23;7;839,438;-
2015-09-23;8;694,075;-
2015-09-23;9;497,450;-
2015-09-23;10;275,313;-
2015-09-23;11;144,688;-
2015-09-23;12;116,563;-
2015-09-23;13;123,613;-
2015-09-23;14;129,975;-
2015-09-23;15;154,400;-
2015-09-23;16;164,525;-
2015-09-23;17;146,550;-
2015-09-23;18;152,763;-
2015-09-23;19;181,788;-
2015-09-23;20;217,213;-
2015-09-23;21;230,938;-
2015-09-23;22;254,013;-
2015-09-23;23;295,100;-
2015-09-23;24;290,875;-
2015-09-24;1;282,450;-
2015-09-24;2;269,375;-
2015-09-24;3;286,738;-
2015-09-24;4;343,388;-
2015-09-24;5;422,538;-
2015-09-24;6;480,363;-
2015-09-24;7;568,000;-
2015-09-24;8;609,813;-
2015-09-24;9;468,163;-
2015-09-24;10;210,063;-
2015-09-24;11;249,763;-
2015-09-24;12;289,813;-
2015-09-24;13;285,488;-
2015-09-24;14;247,425;-
2015-09-24;15;200,688;-
2015-09-24;16;174,563;-
2015-09-24;17;183,550;-
2015-09-24;18;203,125;-
2015-09-24;19;235,500;-
2015-09-24;20;351,875;-
2015-09-24;21;492,313;-
2015-09-24;22;600,050;-
2015-09-24;23;653,425;-
2015-09-24;24;734,288;-
2015-09-25;1;682,525;-
2015-09-25;2;688,875;-
2015-09-25;3;736,588;-
2015-09-25;4;712,625;-
2015-09-25;5;670,025;-
2015-09-25;6;714,625;-
2015-09-25;7;725,963;-
2015-09-25;8;658,375;-
2015-09-25;9;435,688;-
2015-09-25;10;237,113;-
2015-09-25;11;175,050;-
2015-09-25;12;207,263;-
2015-09-25;13;263,638;-
2015-09-25;14;315,013;-
2015-09-25;15;388,313;-
2015-09-25;16;452,538;-
2015-09-25;17;476,025;-
2015-09-25;18;485,400;-
2015-09-25;19;541,988;-
2015-09-25;20;706,925;-
2015-09-25;21;789,188;-
2015-09-25;22;884,650;-
2015-09-25;23;874,700;-
2015-09-25;24;885,163;-
2015-09-26;1;838,763;-
2015-09-26;2;877,188;-
2015-09-26;3;950,050;-
2015-09-26;4;911,900;-
2015-09-26;5;928,163;-
2015-09-26;6;949,838;-
2015-09-26;7;927,038;-
2015-09-26;8;893,600;-
2015-09-26;9;790,600;-
2015-09-26;10;731,425;-
2015-09-26;11;831,350;-
2015-09-26;12;913,050;-
2015-09-26;13;984,488;-
2015-09-26;14;1087,613;-
2015-09-26;15;1129,313;-
2015-09-26;16;1059,125;-
2015-09-26;17;1057,288;-
2015-09-26;18;1019,475;-
2015-09-26;19;976,025;-
2015-09-26;20;1101,163;-
2015-09-26;21;1183,538;-
2015-09-26;22;1261,325;-
2015-09-26;23;1322,300;-
2015-09-26;24;1232,600;-
2015-09-27;1;1150,788;-
2015-09-27;2;1035,863;-
2015-09-27;3;1027,325;-
2015-09-27;4;1026,225;-
2015-09-27;5;1045,375;-
2015-09-27;6;1013,925;-
2015-09-27;7;990,813;-
2015-09-27;8;887,850;-
2015-09-27;9;658,775;-
2015-09-27;10;454,525;-
