Data;Godzina;Krajowe.zapotrzebowanie.na.moc;Sumaryczna.generacja.JWCD;Generacja.PI;Generacja.IRZ;Sumaryczna.generacja.nJWCD;Krajowe.saldo.wymiany.miedzysystemowej.rownoleglej;Krajowe.saldo.wymiany.miedzysystemowej.nierownoleglej
2020-03-27;7;17507,838;9006,388;-92,113;0,000;7067,963;831,725;698,988
2020-03-27;8;19049,238;10502,950;-7,075;0,000;6563,125;1032,825;956,125
2020-03-27;9;19877,600;11616,763;-2,963;0,000;5960,775;1320,150;982,888
2020-03-27;10;19973,050;11802,850;77,213;0,000;5600,775;1465,963;1113,763
2020-03-27;11;19844,175;11534,500;106,313;0,000;5664,600;1442,025;1210,738
2020-03-27;12;19934,300;11458,863;109,025;0,000;5853,763;1478,075;1145,213
2020-03-27;13;19799,125;11348,263;29,275;0,000;5884,550;1457,613;1115,713
2020-03-27;14;19822,988;11250,675;0,063;0,000;5797,000;1506,363;1278,913
2020-03-27;15;19376,850;10905,700;-2,650;0,000;5698,538;1520,963;1263,238
2020-03-27;16;19336,975;10976,850;-2,663;0,000;5663,513;1386,938;1309,600
2020-03-27;17;19353,113;11064,150;92,800;0,000;5724,450;1272,188;1291,675
2020-03-27;18;19443,088;10841,225;340,938;0,000;5958,075;1394,763;1255,838
2020-03-27;19;20432,300;11449,863;383,138;0,000;6490,550;1435,988;1057,675
2020-03-27;20;21106,475;11534,800;659,925;0,000;6816,263;1446,825;1314,638
2020-03-27;21;20426,175;10822,888;576,825;0,000;6785,763;1504,775;1321,250
2020-03-27;22;19090,525;9504,550;527,875;0,000;6824,788;1527,913;1246,538
2020-03-27;23;17760,400;8286,688;126,763;0,000;6742,200;1424,088;1322,313
2020-03-27;24;16797,450;7761,525;-9,638;0,000;6642,388;1254,863;1153,688
2020-03-28;1;15999,525;7724,700;-26,750;0,000;6448,563;935,463;922,188
2020-03-28;2;15429,350;7877,750;-143,925;0,000;6279,825;677,175;738,813
2020-03-28;3;15066,913;8105,363;-144,025;0,000;5962,775;494,763;650,575
2020-03-28;4;14941,750;8131,700;-197,850;0,000;5790,325;536,675;682,625
2020-03-28;5;14914,313;8113,813;-221,675;0,000;5681,750;455,513;886,588
2020-03-28;6;14430,625;8165,875;-338,500;0,000;5587,413;111,063;905,413
2020-03-28;7;15008,688;7785,738;-338,338;0,000;5517,425;968,850;1074,838
2020-03-28;8;15845,175;8284,588;-320,900;0,000;5350,575;1236,913;1297,725
2020-03-28;9;16604,938;8945,313;-33,788;0,000;5158,850;1191,563;1345,450
2020-03-28;10;17147,325;9947,688;-9,138;0,000;5010,913;859,425;1347,663
